Mã số,Câu hỏi,Ghi chú,Trả lời
'3.1.6,Thời gian tự động đăng xuất sau bao lâu không hoạt động?,Session timeout,
'3.1.7,Có cần xác thực email khi đăng ký không?,Email verification,
'3.2. Quản lý Workspace,,,
'3.2.1,Một người dùng có thể tạo bao nhiêu workspace?,Workspace limits,
'3.2.2,Mỗi workspace có thể có bao nhiêu thành viên?,Member limits,
'3.2.3,"Khi mời thành viên, quý vị muốn quy trình như thế nào?",Invitation flow,
'3.2.4,Có cần tính năng chia sẻ workspace với khách (guest) không?,Guest access,
'3.2.5,Workspace có cần phân chia thành các team con không?,Teams/Departments,
'3.2.6,Có cần tính năng chuyển quyền Owner không?,Transfer ownership,
'3.2.7,Có cần public link để người ngoài xem không? (Read-only),Public sharing,
'3.3. Quản lý Project,,,
'3.3.1,Mỗi workspace có thể có bao nhiêu project?,Project limits,
'3.3.2,Có cần tính năng lưu trữ (archive) project không?,Archive feature,
'3.3.3,Project có cần template mẫu không?,Project templates,
'3.3.4,Có cần tính năng sao chép project không?,Duplicate project,
'3.3.5,Có cần timeline/Gantt chart cho project không?,Timeline view,
'3.3.6,Project có cần milestone/sprint không?,Milestones,
'3.3.7,Có cần báo cáo tiến độ theo project không?,Progress reports,
'3.3.8,Project có thể có nhiều Owner không?,Multiple owners,
'3.4. Quản lý Task - Cơ bản,,,
'3.4.1,Quy trình làm việc (workflow) điển hình của một task là gì?,Workflow states,
'3.4.2,"Các trạng thái task mong muốn? (VD: Todo, In Progress, Review, Done)",Task statuses,
'3.4.3,Có cần tùy chỉnh trạng thái theo từng project không?,Custom statuses,
'3.4.4,"Mức độ ưu tiên nào cần có? (Thấp, Bình thường, Cao, Khẩn cấp)",Priority levels,
'3.4.5,Một task có thể gán cho nhiều người không?,Multiple assignees,
'3.4.6,"Task cần những trường thông tin nào? (Tiêu đề, Mô tả, Deadline...)",Task fields,
'3.4.7,Có cần custom fields (trường tùy chỉnh) không?,Custom fields,
'3.4.8,Có cần Quick Add Task (thêm nhanh) không?,Quick add,
'3.4.9,Có cần Task Template không?,Task templates,
'3.5. Quản lý Task - Nâng cao,,,
'3.5.1,Có cần tính năng subtask (công việc con) không?,Subtasks,
'3.5.2,Subtask có thể lồng nhau bao nhiêu cấp?,Subtask depth,
'3.5.3,Có cần tính năng dependencies (task phụ thuộc) không?,Dependencies,
'3.5.4,"Loại dependency nào? (Finish-to-Start, Start-to-Start...)",Dependency types,
'3.5.5,Có cần tính năng recurring tasks (lặp lại) không?,Recurring tasks,
'3.5.6,"Lặp lại theo chu kỳ nào? (Hàng ngày, tuần, tháng)",Recurrence patterns,
'3.5.7,Có cần ước tính thời gian hoàn thành không?,Time estimation,
'3.5.8,Có cần theo dõi thời gian thực tế không? (Time tracking),Time tracking,
'3.5.9,Có cần check-in/check-out khi làm task không?,Work logging,
'3.5.10,Có cần tính năng blocker/impediment không?,Blockers,
'3.5.11,Có cần tính năng duplicate/clone task không?,Clone task,
'3.5.12,Có cần convert subtask thành task chính không?,Promote subtask,
'3.6. Thao tác hàng loạt (Bulk Operations),,,
'3.6.1,Có cần chọn nhiều task cùng lúc không?,Multi-select,
'3.6.2,Có cần bulk edit (sửa hàng loạt) không?,Bulk edit,
'3.6.3,Có cần bulk delete (xóa hàng loạt) không?,Bulk delete,
'3.6.4,Có cần bulk move giữa các project không?,Bulk move,
'3.6.5,Có cần bulk assign (gán hàng loạt) không?,Bulk assign,
'3.6.6,Có cần bulk change status không?,Bulk status change,
'3.7. Labels & Phân loại,,,
'3.7.1,Có cần hệ thống nhãn (labels/tags) để phân loại task không?,Labels system,
'3.7.2,Labels có được chia sẻ trong workspace không?,Shared labels,
'3.7.3,Có giới hạn số nhãn trên một task không?,Label limits,
'3.7.4,Labels có cần màu sắc không?,Label colors,
'3.7.5,Có cần phân Category riêng biệt với Label không?,Categories,
'3.7.6,Có cần tạo nhãn mới ngay khi gán không?,Create on-the-fly,
'3.8. Bình luận & Collaboration,,,
'3.8.1,Có cần tính năng bình luận trên task không?,Comments,
'3.8.2,Có cần trả lời bình luận (reply/thread) không?,Threaded comments,
'3.8.3,Có cần mention (@) người dùng trong bình luận không?,Mentions,
'3.8.4,Bình luận có thể chỉnh sửa/xóa không? Trong bao lâu?,Edit/Delete policy,
'3.8.5,Có cần rich text formatting trong bình luận không?,Rich text,
'3.8.6,Có cần thêm emoji/reactions không?,Reactions,
'3.8.7,Có cần tính năng @ all team không?,Team mentions,
'3.8.8,Có cần pin comment quan trọng không?,Pinned comments,
'3.8.9,Có cần typing indicator (đang nhập) không?,Typing indicator,
'3.9. Tệp đính kèm,,,
'3.9.1,Có cần đính kèm file vào task không?,Attachments,
'3.9.2,Giới hạn kích thước file tối đa bao nhiêu?,Size limits,
'3.9.3,"Những định dạng file nào được phép? (images, pdf, docs...)",Allowed formats,
'3.9.4,Có cần preview file trong ứng dụng không?,Preview feature,
'3.9.5,Dung lượng lưu trữ tối đa cho mỗi workspace?,Storage quota,
'3.9.6,Có cần versioning cho file không?,File versions,
'3.9.7,Có cần drag & drop upload không?,Drag drop upload,
'3.9.8,Có cần paste image từ clipboard không?,Clipboard paste,
'3.10. Thông báo & Real-time,,,
'3.10.1,Người dùng cần nhận thông báo trong những trường hợp nào?,Notification triggers,
'3.10.2,"Thông báo qua những kênh nào? (In-app, Email, Push)",Notification channels,
'3.10.3,Có cần thông báo real-time không?,Real-time,
'3.10.4,Có cần nhắc nhở deadline không? Trước bao lâu?,Deadline reminders,
'3.10.5,Người dùng có thể tùy chỉnh thông báo không?,Notification settings,
'3.10.6,Có cần tính năng Do Not Disturb không?,DND mode,
'3.10.7,Có cần digest email tổng hợp hàng ngày/tuần không?,Email digest,
'3.10.8,Có cần thông báo khi có người online/offline không?,Presence indicator,
'3.11. Tìm kiếm & Lọc,,,
'3.11.1,Có cần tìm kiếm toàn hệ thống (global search) không?,Global search,
'3.11.2,"Tìm kiếm theo những tiêu chí nào? (Tiêu đề, Nội dung, Người gán...)",Search criteria,
'3.11.3,Có cần lọc task theo nhiều tiêu chí không?,Advanced filters,
'3.11.4,Có cần lưu bộ lọc để dùng lại không?,Saved filters,
'3.11.5,Có cần sort theo nhiều tiêu chí không?,Sorting options,
'3.11.6,Có cần full-text search trong nội dung task không?,Full-text search,
'3.11.7,Có cần search trong comments/attachments không?,Search scope,
'3.12. My Tasks & Personal View,,,
'3.12.1,Có cần view "My Tasks" tổng hợp từ tất cả workspace không?,My Tasks view,
'3.12.2,Có cần "Today" view cho tasks của ngày hôm nay không?,Today view,
'3.12.3,Có cần "Upcoming" view cho tasks sắp tới không?,Upcoming view,
'3.12.4,Có cần "Overdue" view cho tasks quá hạn không?,Overdue view,
'3.12.5,Có cần tự sắp xếp thứ tự ưu tiên cá nhân không?,Personal priority,
'3.12.6,Có cần favorite/star task không?,Favorites,
'3.13. Dashboard & Báo cáo,,,
'3.13.1,Có cần dashboard tổng quan không?,Dashboard,
'3.13.2,"Những chỉ số nào cần hiển thị trên dashboard? (Tasks completed, overdue...)",KPIs,
'3.13.3,Có cần biểu đồ thống kê không?,Charts,
'3.13.4,Có cần theo dõi hiệu suất cá nhân/nhóm không?,Performance tracking,
'3.13.5,Có cần burndown/burnup chart không?,Burndown charts,
'3.13.6,Có cần velocity chart không?,Velocity tracking,
'3.13.7,"Có cần xuất báo cáo không? Định dạng nào? (PDF, Excel)",Export reports,
'3.13.8,Có cần schedule báo cáo tự động không?,Scheduled reports,
'3.13.9,Có cần custom dashboard widget không?,Custom widgets,
'3.14. Automation & Rules,,,
'3.14.1,Có cần tự động gán người khi tạo task trong column/status nhất định không?,Auto-assign,
'3.14.2,Có cần tự động chuyển status khi có điều kiện không?,Auto-status change,
'3.14.3,Có cần tự động gửi thông báo khi có trigger không?,Auto-notify,
'3.14.4,Có cần tự động set due date không?,Auto-due date,
'3.14.5,"Có cần custom automation rules (If-Then) không?",Custom rules,
'3.14.6,Có cần tự động archive task đã done sau X ngày không?,Auto-archive,
'3.15. Activity & Audit,,,
'3.15.1,Có cần Activity Log cho mỗi task không?,Activity history,
'3.15.2,Có cần xem lịch sử thay đổi của task không?,Change history,
'3.15.3,Có cần biết ai đã xem task không?,View tracking,
'3.15.4,Lịch sử cần lưu bao lâu?,History retention,
'3.15.5,Có cần Undo/Redo cho các thao tác không?,Undo/Redo,
'3.15.6,Có cần restore task đã xóa không?,Trash/Restore,
'4. GIAO DIỆN NGƯỜI DÙNG,,,
'4.1. View modes,,,
'4.1.1,"Quý vị muốn xem tasks theo dạng nào? (Kanban, List, Calendar, Gantt)",View types,
'4.1.2,View mặc định nên là gì?,Default view,
'4.1.3,Có cần chuyển đổi giữa các views không?,Switch views,
'4.1.4,Có cần tùy chỉnh columns trong Kanban view không?,Custom columns,
'4.1.5,Có cần WIP limit cho mỗi column không?,WIP limits,
'4.1.6,Có cần swimlanes trong Kanban không?,Swimlanes,
'4.1.7,Có cần collapsible columns không?,Collapsible,
'4.2. Calendar View,,,
'4.2.1,"Calendar hiển thị theo đơn vị nào? (Ngày, Tuần, Tháng)",Calendar units,
'4.2.2,Có cần drag & drop task trên calendar không?,Calendar drag-drop,
'4.2.3,Có cần tích hợp với external calendar không?,Calendar sync,
'4.2.4,Có cần color coding theo priority/label không?,Color coding,
'4.3. Thiết kế & UX,,,
'4.3.1,"Quý vị thích phong cách thiết kế nào? (Modern, Classic, Minimalist)",Design style,
'4.3.2,Có brand guidelines/màu sắc thương hiệu cần tuân theo không?,Brand colors,
'4.3.3,Có ứng dụng nào mà quý vị thích giao diện không? (Tham khảo),Reference apps,
'4.3.4,Có cần chế độ Dark Mode không?,Dark mode,
'4.3.5,Có cần keyboard shortcuts không?,Keyboard shortcuts,
'4.3.6,Có cần Command Palette (Ctrl+K) không?,Command palette,
'4.3.7,Có cần Right-click context menu không?,Context menu,
'4.4. Onboarding & Help,,,
'4.4.1,Có cần onboarding tour cho người dùng mới không?,Onboarding tour,
'4.4.2,Có cần sample workspace/project để mới bắt đầu không?,Sample data,
'4.4.3,Có cần tooltips/hints không?,Tooltips,
'4.4.4,Có cần in-app help/documentation không?,Help center,
'4.5. User Preferences,,,
'4.5.1,Có cần chọn ngôn ngữ hiển thị không?,Language,
'4.5.2,Có cần chọn timezone không?,Timezone,
'4.5.3,Có cần chọn định dạng ngày tháng không?,Date format,
'4.5.4,Có cần remember last view/filter không?,Remember state,
'4.6. Responsive & Mobile,,,
'4.6.1,Người dùng có sử dụng điện thoại/tablet nhiều không?,Mobile usage,
'4.6.2,Có cần ứng dụng mobile native không hay web responsive là đủ?,Native vs Web,
'4.6.3,Những tính năng nào cần thiết trên mobile?,Mobile features,
'4.6.4,Có cần offline mode trên mobile không?,Offline support,
'4.6.5,Có cần push notification trên mobile không?,Mobile push,
'5. TÍCH HỢP HỆ THỐNG,,,
'5.1. Email & Calendar,,,
'5.1.1,"Có cần tích hợp với email không? (Gmail, Outlook)",Email integration,
'5.1.2,Có cần tạo task từ email không?,Email to task,
'5.1.3,"Có cần đồng bộ với calendar không? (Google Calendar, Outlook Calendar)",Calendar sync,
'5.1.4,Có cần 2-way sync calendar không?,Two-way sync,
'5.2. Chat & Collaboration,,,
'5.2.1,"Có cần tích hợp với Slack, Teams, Discord không?",Chat integration,
'5.2.2,Có cần nhận thông báo qua chat không?,Chat notifications,
'5.2.3,Có cần tạo task từ chat không?,Chat to task,
'5.2.4,Có cần unfurl task links trong chat không?,Link unfurling,
'5.3. Storage & Development,,,
'5.3.1,"Có cần tích hợp với cloud storage không? (Google Drive, Dropbox)",Storage integration,
'5.3.2,Có cần tích hợp với Git/GitHub/GitLab không?,Dev tools,
'5.3.3,Có cần link task với Pull Request/Commit không?,Git linking,
'5.3.4,Có cần auto-update task status khi PR merged không?,Git automation,
'5.4. API & Webhooks,,,
'5.4.1,Có cần cung cấp API cho bên thứ ba không?,Public API,
'5.4.2,Có cần webhooks để push events ra ngoài không?,Webhooks,
'5.4.3,Có cần import/export dữ liệu không? Định dạng nào?,Data import/export,
'5.4.4,Có cần import từ Trello/Asana/Jira không?,Migration tools,
'5.4.5,Có cần Zapier/Make integration không?,Zapier integration,
'6. CÂU HỎI KẾT THÚC,,,
'6.1,Có điều gì khác mà quý vị muốn chia sẻ về dự án không?,Additional info,
'6.2,"Trong số các tính năng đã thảo luận, 5 tính năng quan trọng nhất là gì?",Top 5 priorities,
'6.3,Có tính năng nào mà quý vị tuyệt đối không muốn có không?,Exclusions,
'6.4,Có tính năng nào của đối thủ cạnh tranh mà quý vị muốn có không?,Competitive features,
'6.5,Ai là người liên hệ chính cho các câu hỏi tiếp theo?,Point of contact,
