'7.1.3,Safari,Minimum version,14+,
'7.1.4,Edge,Minimum version,90+,
'7.2. API Compatibility,,,
'7.2.1,API style,Format,RESTful API (JSON),
'7.2.2,Content-Type,Value,application/json,
'7.2.3,Accept-Language header,Support,Có,
'7.2.4,CORS,Status,Enabled,
'8. REAL-TIME,,,High,
'8.1. WebSocket,,,
'8.1.1,Protocol,Technology,Socket.io over WebSocket,
'8.1.2,Reconnection,Strategy,Auto-reconnect với backoff,
'8.1.3,Heartbeat,Interval,30 giây,
'8.1.4,Room-based updates,Scope,Workspace-level rooms,
'8.2. Event Latency,,,
'8.2.1,Task status change,Max latency,≤ 500ms,
'8.2.2,New comment,Max latency,≤ 500ms,
'8.2.3,New notification,Max latency,≤ 1s,
'8.2.4,Member online status,Max latency,≤ 2s,
'9. STORAGE,,,Medium,
'9.1. File Upload,,,
'9.1.1,Max file size (attachments),Limit,10MB,
'9.1.2,Max avatar size,Limit,5MB,
'9.1.3,Allowed file types,Formats,"jpg, png, gif, pdf, doc, docx, xls, xlsx",
'9.1.4,Storage location,Environment,Local (dev) / S3-compatible (prod),
'9.2. Data Retention,,,
'9.2.1,User data,Policy,Until account deletion,
'9.2.2,Deleted tasks,Retention,30 days (soft delete),
'9.2.3,Activity logs,Retention,90 days,
'9.2.4,Notification history,Retention,30 days,
'10. ĐỘ TIN CẬY (Reliability),,,High,
'10.1. Backup & Recovery,,,
'10.1.1,Database backup,Frequency,Hàng ngày tự động,
'10.1.2,Backup retention,Duration,30 ngày,
'10.1.3,Backup location,Type,Off-site/Cloud storage,
'10.1.4,Recovery testing,Frequency,Hàng tháng,
'10.1.5,Disaster recovery plan,Status,Documented,
'10.2. Data Integrity,,,
'10.2.1,Transaction management,Standard,ACID compliance,
'10.2.2,Foreign key constraints,Status,Enforced,
'10.2.3,Optimistic locking,For concurrent updates,Có,
'10.2.4,Data validation,Scope,Client và Server,
'10.2.5,Cascading delete,Strategy,Soft-delete,
'10.3. Fault Tolerance,,,
'10.3.1,Graceful degradation,When DB connection lost,Có,
'10.3.2,Queue-based processing,For non-critical operations,Có,
'10.3.3,Auto-retry,Max attempts,3 lần,
'10.3.4,Health check endpoints,Endpoints,/health và /ready,
'11. KHẢ NĂNG DI CHUYỂN (Portability),,,Medium,
'11.1. Containerization,,,
'11.1.1,Docker support,Files,Dockerfile + docker-compose,
'11.1.2,Image size,Target,≤ 500MB,
'11.1.3,Multi-stage build,Status,Production optimized,
'11.1.4,Environment variables,Standard,12-factor app compliance,
'11.2. Cloud Agnostic,,,
'11.2.1,Vendor dependency,Policy,Không phụ thuộc vendor-specific,
'11.2.2,Storage interface,Compatibility,S3-compatible (MinIO/AWS/GCS),
'11.2.3,Database,Standard,PostgreSQL portable,
'11.2.4,Configuration,Method,Environment variables,
'11.3. Database Migration,,,
'11.3.1,Migrations,Tool,Prisma versioned migrations,
'11.3.2,Rollback,Capability,Có,
'11.3.3,Zero-downtime migration,Strategy,Có,
'11.3.4,Seed data,For development,Có,
'12. KHẢ NĂNG KIỂM THỬ (Testability),,,High,
'12.1. Testing Environment,,,
'12.1.1,Development,Database,SQLite/Docker PostgreSQL,
'12.1.2,Testing (CI/CD),Database,Docker PostgreSQL,
'12.1.3,Staging,Database,Clone of production,
'12.1.4,Production,Database,PostgreSQL managed,
'12.2. Test Automation,,,
'12.2.1,Unit Tests,Coverage target / Tool,≥ 80% / Jest,
'12.2.2,Integration Tests,Coverage / Tool,Critical paths / Supertest,
'12.2.3,E2E Tests,Coverage / Tool,Happy paths / Playwright,
'12.2.4,API Tests,Coverage / Tool,All endpoints / Postman,
'12.3. Mocking & Fixtures,,,
'12.3.1,Database fixtures,For test data,Có,
'12.3.2,Mock services,For external APIs,Có,
'12.3.3,Factory patterns,For test objects,Có,
'12.3.4,Test databases,Isolation,Có,
'13. QUAN SÁT (Observability),,,High,
'13.1. Logging,,,
'13.1.1,ERROR level,Use case,System errors,
'13.1.2,WARN level,Use case,Potential issues,
'13.1.3,INFO level,Use case,Business events,
'13.1.4,DEBUG level,Use case,Development details,
'13.1.5,Log format,Standard,JSON với timestamp/level/correlationId,
'13.2. Monitoring & Metrics,,,
'13.2.1,Response time (p95),Alert threshold,> 1s,
'13.2.2,Error rate (5xx),Alert threshold,> 1%,
'13.2.3,CPU usage,Alert threshold,> 80%,
'13.2.4,Memory usage,Alert threshold,> 85%,
'13.2.5,Active connections,Alert threshold,> 90% capacity,
'13.3. Health Checks,,,
'13.3.1,/health,Purpose / Interval,Basic liveness / 30s,
'13.3.2,/health/ready,Purpose / Interval,Readiness (DB/Redis) / 30s,
'13.3.3,/health/detailed,Purpose / Interval,Full status / 60s,
'13.4. Alerting,,,
'13.4.1,Email alerts,For critical errors,Có,
'13.4.2,Chat integration,Slack/Discord,Optional,
'13.4.3,On-call rotation,For production,Có,
'13.4.4,Escalation policies,Status,Documented,
'14. BẢN ĐỊA HÓA (Localization),,,Medium,
'14.1. Timezone Handling,,,
'14.1.1,Storage,Format,UTC trong database,
'14.1.2,Display,Conversion,Theo user timezone,
'14.1.3,User preference,Storage,Trong profile,
'14.1.4,Default timezone,Value,Asia/Ho_Chi_Minh,
'14.2. Date/Time Format,,,
'14.2.1,vi-VN locale,Format,DD/MM/YYYY HH:mm,
'14.2.2,en-US locale,Format,MM/DD/YYYY h:mm A,
'14.3. Language Support,,,
'14.3.1,MVP,Language,Tiếng Việt (default),
'14.3.2,Future,Languages,English + others,
'14.3.3,i18n features,Readiness,Externalized strings + Pluralization,
'15. QUYỀN RIÊNG TƯ (Privacy & Compliance),,,High,
'15.1. Data Privacy,,,
'15.1.1,Data minimization,Policy,Chỉ thu thập dữ liệu cần thiết,
'15.1.2,Purpose limitation,Policy,Dữ liệu chỉ cho mục đích declared,
'15.1.3,Data access,User right,Có thể xem dữ liệu của mình,
'15.1.4,Data portability,User right,Export data (JSON format),
'15.1.5,Right to delete,User right,Yêu cầu xóa account,
'15.2. Data Export,,,
'15.2.1,Export timeline,SLA,Trong 48 giờ,
'15.2.2,Export format,Options,JSON hoặc CSV,
'15.2.3,Export scope,Data,"Profile, Tasks, Comments, Attachments metadata",
'15.3. Account Deletion,,,
'15.3.1,Request,Action,User yêu cầu xóa,Immediate
'15.3.2,Soft delete,Action,Deactivate account,Within 24h
'15.3.3,Grace period,User có thể recover,30 ngày,
'15.3.4,Hard delete,Xóa vĩnh viễn,After 30 days,
'15.4. Consent Management,,,
'15.4.1,Terms of Service,Tracking,Acceptance tracked,
'15.4.2,Privacy Policy,Tracking,Version tracked,
'15.4.3,Cookie consent,Status,Có (nếu có tracking),
'15.4.4,Email notifications,User preference,Configurable,
